ID,ChoiceNum,ProjID,Gender,Grade,Score,
238,2,3,F,2022,707,
383,1,3,M,2021,802,
293,2,3,M,2019,659,
304,1,3,M,2020,931,
49,1,3,F,2019,390,
130,1,3,F,2021,885,
370,5,3,F,2021,715,
107,5,3,F,2021,758,
436,1,3,F,2022,659,
139,8,3,F,2022,587,
141,1,3,F,2022,592,
481,3,3,F,2022,401,
318,5,3,F,2020,457,
101,1,7,F,2020,515,
463,2,7,F,2022,366,
113,2,7,M,2021,633,
257,1,7,M,2019,905,
149,2,7,F,2022,462,
461,1,7,M,2022,683,
396,2,7,F,2021,724,
163,1,7,F,2022,419,
36,3,7,F,2019,813,
386,1,7,M,2021,449,
28,4,7,F,2019,794,
9,4,7,F,2019,331,
167,1,11,M,2022,461,
126,2,11,F,2021,484,
162,1,11,M,2022,895,
4,1,11,M,2019,640,
286,1,11,M,2019,189,
454,1,11,M,2022,705,
447,2,11,M,2022,695,
357,2,11,F,2020,339,
349,3,11,M,2020,815,
300,2,11,M,2019,775,
119,6,11,M,2021,868,
185,2,11,M,2021,552,
182,2,11,M,2021,473,
171,1,17,F,2022,226,
272,1,17,F,2019,734,
27,2,17,M,2019,654,
208,1,17,F,2019,533,
289,1,17,M,2019,381,
158,1,17,F,2022,728,
159,1,17,M,2022,498,
179,1,17,F,2022,731,
276,1,17,M,2019,425,
223,1,17,M,2019,839,
294,2,17,M,2019,518,
270,1,17,M,2019,400,
235,1,17,M,2019,640,
33,4,17,M,2019,883,
35,1,17,M,2019,257,
13,4,17,F,2019,1044,
348,1,19,M,2020,536,
151,4,19,F,2022,318,
265,6,19,M,2021,612,
40,2,19,M,2019,466,
154,4,19,F,2022,643,
102,3,19,F,2020,640,
228,1,23,F,2020,589,
31,1,23,F,2019,656,
24,1,23,M,2019,482,
284,1,23,M,2019,275,
343,1,23,M,2020,471,
295,1,23,M,2019,536,
326,1,23,M,2020,634,
252,1,23,M,2019,479,
202,2,23,M,2019,671,
455,3,23,F,2022,466,
210,1,23,M,2019,653,
6,2,23,M,2019,809,
100,6,23,F,2021,675,
70,7,23,F,2020,463,
215,2,23,M,2020,575,
297,1,23,F,2019,443,
160,1,29,F,2022,364,
303,1,29,M,2020,359,
60,1,29,M,2020,449,
379,1,29,F,2021,562,
472,1,29,M,2022,490,
37,1,29,F,2019,530,
253,2,29,F,2019,490,
451,2,29,M,2022,436,
368,3,29,M,2021,548,
344,4,29,M,2020,661,
173,3,29,F,2022,1019,
114,1,31,M,2021,310,
172,1,31,M,2022,299,
83,2,31,M,2020,356,
176,1,31,F,2022,444,
227,3,31,M,2019,768,
